<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PRSD.US,D,20250910,000000,25.07,25.11,25.01,25.07,212,0
PRSD.US,D,20250911,000000,25.1392,25.1392,25.1,25.1,5230,0
PRSD.US,D,20250912,000000,25.11,25.11,25.09,25.09,159,0
PRSD.US,D,20250915,000000,25.1499,25.1499,25.08,25.115,366,0
PRSD.US,D,20250917,000000,25.159,25.159,25.105,25.105,930,0
PRSD.US,D,20250918,000000,25.12,25.12,25.095,25.095,227,0
PRSD.US,D,20250924,000000,25.1034,25.23,25.095,25.095,2006,0
PRSD.US,D,20250926,000000,25.12,25.125,25.12,25.125,1210,0
PRSD.US,D,20250929,000000,25.14,25.15,25.11,25.11,206,0
PRSD.US,D,20251006,000000,25.12,25.23,25.12,25.12,1694,0
PRSD.US,D,20251009,000000,25.11,25.12,25.085,25.085,202,0
PRSD.US,D,20251014,000000,25.1352,25.14,25.1352,25.14,1351,0
